,,,,,,,,,,UEP,,,,,Foldx Ratio,,,,,Pydock Ratio,,,,,"Consensus of Foldx, Pydock and InterfaceFinder",,,,,BEATMUSIC,,,,,Prodigy,,,,,mCSM unknown,,,,,mCSM known,,,,,UEP unknown,,,,,,,,,,,
1CT4_VI13L,168,1.0121,0.9561,1.69,1.120,-0.1,-4.25,0,1.69,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,,,,,,,
1E96_NA26H,0.155,0.9925,1.0072,0.51,0.570,0.1,0,-0.638,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,0,mCSM_known,,,,,,
1FC2_LC13D,0.169,0.9742,1.0602,0.18,1.680,0.2,0,-1.055,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,P,N,,,,
1FC2_NC24F,0.24,1.0068,1.2704,1.88,0.060,-0.1,-0.764,0,1.88,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,459,99,360,0.22,0.90,,
1FC2_YC10F,0.176,1.0054,1.0903,0.85,1.160,0.1,-1.788,0,0.85,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,74,64,10,0.86,0.14,,
1FC2_YC10W,0.5,0.9988,1.0002,0.41,0.770,0,-1.258,0,0.41,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,385,35,350,0.09,0.91,,MCC
1FFW_YA105W,0.3,0.9087,1.0994,0.38,0.340,0.1,0,0.071,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TPR,0.65,0.03,23.27,64.00,0.74,0.692
1FSS_AB12S,0.578,0.9941,0.9772,1.78,0.250,-0.4,-0.416,0,1.78,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FNR,0.35,0.97,0.36,,,
1FSS_KB32R,0.148,0.9998,1.0275,2.21,0.090,0.2,-1.661,0,2.21,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,,,,,,,
1FSS_MB33F,0.206,0.9598,1.0302,2.66,0.910,-0.1,0.108,0,2.66,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,UEP_unkwnown,,,,,,
1FSS_MB33L,0.197,0.9956,0.9857,3.25,0.990,0,-0.788,0,3.25,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,,P,N,,,,
1FSS_MB33Q,0.07,0.9896,0.9725,1.1,2.010,-0.5,-1.204,0,1.1,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,153,58,95,0.38,0.66,,
1FSS_MB33Y,0.095,0.9519,0.9957,3.19,0.990,0,-0.076,0,3.19,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,80,43,37,0.54,0.46,,
1FSS_RB11K,0.586,0.9950,1.0287,0.46,0.750,0.2,-2.249,0,0.46,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,73,15,58,0.21,0.79,,MCC
1FSS_RB27F,0.016,0.9950,1.0861,1.86,-0.140,0.4,-0.395,0,1.86,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TPR,0.74,0.39,1.90,4.49,0.62,0.342
1FSS_RB27M,0.011,0.9976,0.9627,0.57,0.520,0.3,-0.859,0,0.57,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FNR,0.26,0.61,0.42,,,
1FSS_RB27Y,0.012,0.9940,1.0109,1.12,-0.370,0.4,-0.16,0,1.12,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,,,,,,,
1FSS_TB8V,1.508,1.0095,1.0096,1.64,0.630,0,-1.398,0,1.64,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,,,,,,,
1FSS_TB9I,1.48,1.0046,1.0340,2.73,0.970,-0.4,-0.465,0,2.73,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,,,,,,,
1FSS_TB9N,0.121,0.9974,0.9528,0.85,1.160,0.2,-0.829,0,0.85,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,,,,
1FSS_VB34T,0.069,0.9916,1.0038,0.96,1.060,0.1,-0.959,0,0.96,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,,,,
1GL0_MI28K,2.56,0.9942,1.0068,1.22,2.720,-0.5,-0.026,0,1.22,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,,,,,,,
1GL1_LI29V,0.001,0.9809,0.9655,0.59,1.370,-0.4,0,-2.014,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,
1IAR_EA9Q,0.005,0.9723,0.9485,0.77,0.220,-0.4,0,-3.474,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,
1IAR_IA5R,0.261,0.9915,0.9643,1.68,0.260,0.1,0,-1.566,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,
1IAR_RA53Q,0.244,0.9773,0.9546,0.55,0.780,-0.7,0,-1.228,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,
1IAR_RA81E,0.085,0.9566,0.7854,0.12,0.710,0.2,0,-1.583,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,
1IAR_RA85E,0.127,0.9176,1.0198,0.21,1.590,0.1,0,-1.891,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,
1IAR_RA88Q,0.008,0.9490,0.9047,0.33,1.150,-0.2,0,-2.659,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,
1JTG_EA213K,2,0.9892,0.9403,0.38,0.270,0,-0.533,0,0.38,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,,,,,,,
1JTG_EA79D,0.002,0.9722,1.0207,0.54,0.570,-0.1,-1.991,0,0.54,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,,,,
1JTG_EA79K,0.012,0.9661,0.9006,0.95,0.920,0.1,-3.063,0,0.95,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,,,,
1JTG_EA85G,4.67,1.0068,1.0016,0.4,1.620,-0.1,-1.614,0,0.4,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,,,,,,,
1JTG_EA85V,3.11,1.0183,1.0044,0.45,0.610,-0.5,-1.04,0,0.45,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,,,,,,,
1JTG_EB73M,0.427,1.0007,1.0183,0.37,-0.950,0,1.013,0,0.37,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,,,,
1JTG_KA86N,0.737,1.0062,0.9804,0.84,0.440,0.2,-0.87,0,0.84,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,,,,
1JTG_PA82Q,0.459,0.9805,1.0316,0.86,0.700,-0.2,-1.454,0,0.86,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,,,,
1K8R_DA38E,0.003,1.0092,1.0864,1.35,1.090,0,-1.142,0,1.35,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,,,,,,,
1K8R_DA38N,0.041,1.0101,0.4410,0.58,0.460,0.3,-1.492,0,0.58,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,,,,
1K8R_YA40F,0.081,1.0053,1.0819,0.88,0.510,0,-1.107,0,0.88,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,,,,
1KAC_PA15S,3.82,0.9770,0.9542,1.49,0.880,-0.1,0,-0.201,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,
1KNE_AA3K,0.221,1.0132,0.7403,1.93,-0.010,0.2,-1.196,0,1.93,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,,,,,,,
1KNE_DA40F,2.83,0.9998,1.5974,1.66,-0.120,-0.5,-0.018,0,1.66,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,,,,,,,
1KNE_DA40I,0.459,0.9393,0.9149,1.02,-0.180,-0.4,0.335,0,1.02,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,,,,,,,
1KNE_DA40K,1.89,0.9816,-0.0973,1.35,0.020,0,-0.892,0,1.35,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,,,,,,,
1KNE_DA40T,0.436,0.9062,0.9528,1.65,-0.130,0,-1.474,0,1.65,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,,,,,,,
1KNE_TP2I,0.63,1.0566,1.0708,2.4,0.560,1.1,-1.307,0,2.4,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,,,,,,,
1KNE_TP2K,1.7,1.0629,0.7222,1.98,1.290,0.6,-3.135,0,1.98,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,,,,,,,
1KNE_TP2L,0.708,1.0488,1.2948,4.78,0.720,1.1,-1.307,0,4.78,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,,,,,,,
1KTZ_EB95Q,0.064,0.9838,0.8792,0.29,0.630,0.1,0,-1.434,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,
1KTZ_RA64K,0.024,0.9987,1.0518,0.53,0.300,0,0,-1.753,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,
1KTZ_SB28L,0.001,0.8997,0.9710,1.79,-0.520,0.4,0,-2.215,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,
1KTZ_VA62I,0.664,1.0095,0.9858,2.15,0.600,0,0,-1.069,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,
1LFD_MA17K,3.35,0.9931,0.5602,1.69,0.520,0.2,-0.114,0,1.69,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,,,,,,,,
1LFD_YA18F,0.124,0.9936,1.4984,0.74,0.890,0.2,-1.622,0,0.74,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,,,,
1LFD_YB40F,0.03,1.0022,1.2197,0.73,0.580,0,-1.123,0,0.73,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,,,,
